Lemma,Rank,SFI,U
be,1,87.95,62378.07
the,2,87.03,50498.86
fill,667,59.90,97.75
extra,668,58.84,76.50
value,669,61.34,136.24
bag,670,58.33,68.13
stage,671,60.90,122.97
eye,672,61.09,128.41
window,673,59.01,79.69
park,674,59.77,94.92
hot,675,59.90,97.64
document,676,60.11,102.66
relate,677,59.68,92.89
several,680,62.83,191.84
itself,679,61.37,136.96
evening,678,59.73,93.87
product,681,60.80,120.34
wonderful,682,60.66,116.45
relationship,683,61.61,144.72
floor,684,59.33,85.73
hospital,685,60.72,118.09
plus,686,58.67,73.65
quick,687,59.44,87.91
lady,688,58.99,79.28
mile,689,60.77,119.42
aware,690,58.97,78.86
contact,691,58.98,79.16
single,692,60.87,122.06
copy,693,57.99,62.97
effort,694,62.30,169.99
trade,696,61.39,137.74
review,695,59.63,91.82
sale,697,60.30,107.18
totally,698,59.21,83.31
therefore,699,59.05,80.31
air,700,62.57,180.76
church,701,61.27,133.99
visit,702,62.11,162.58
awful,703,57.67,58.45
action,704,62.09,161.77
completely,705,60.32,107.69
affect,706,61.21,132.11
cheap,707,58.31,67.80
street,710,62.09,161.69
receive,708,60.93,123.84
require,709,60.49,112.01
red,711,59.53,89.84
focus,712,62.20,166.15
surprise,713,61.40,138.11
apply,714,59.31,85.36
correct,715,60.14,103.22
various,716,59.40,87.07
bet,717,58.34,68.28
purpose,719,58.74,74.81
normally,718,57.75,59.58
create,721,63.30,213.75
bus,720,58.56,71.73
nobody,520,61.31,135.29
computer,521,61.72,148.58
budget,522,60.91,123.38
fun,523,60.72,117.95
depend,524,60.65,116.09
particularly,525,61.96,156.86
study,526,63.76,237.72
tonight,527,61.90,154.78
everyone,528,62.20,166.02
afternoon,529,60.37,108.88
notice,530,60.26,106.19
baby,531,61.10,128.74
chance,532,62.54,179.56
standard,533,60.98,125.37
especially,534,62.57,180.72
middle,535,61.51,141.42
press,536,61.61,144.72
till,537,57.21,52.58
million,538,65.04,319.28
seventy,539,54.65,29.21
city,540,64.94,311.82
realize,541,61.71,148.39
score,542,60.40,109.75
weekend,543,61.33,135.91
black,544,64.94,312.17
lead,545,64.57,286.69
result,546,62.64,183.63
fit,547,59.51,89.35
staff,548,60.63,115.49
control,549,63.29,213.36
definitely,550,60.84,121.21
conversation,551,62.59,181.48
further,552,60.47,111.45
straight,553,59.93,98.29
free,554,62.24,167.55
shall,555,57.06,50.83
develop,556,62.01,158.89
college,557,61.84,152.72
opportunity,558,62.25,167.98
near,559,61.20,131.80
ought,560,59.77,94.89
per,561,59.81,95.61
bear,562,61.51,141.47
offer,564,62.39,173.23
date,563,60.01,100.22
grade,565,58.47,70.25
toward,566,62.13,163.12
war,567,65.22,332.65
throw,568,61.02,126.42
major,569,63.06,202.46
charge,570,62.90,194.88
rate,571,63.21,209.27
individual,572,61.89,154.56
music,573,64.07,255.20
doctor,574,61.93,155.93
husband,575,60.70,117.60
force,576,64.58,286.84
load,577,57.89,61.54
effect,578,62.32,170.70
wish,579,60.04,100.96
team,580,63.64,231.11
eleven,581,54.66,29.22
worth,582,60.40,109.55
brief,583,58.81,76.11
law,584,64.43,277.05
unless,585,59.82,95.85
future,586,62.74,188.03
behind,587,62.42,174.57
white,589,63.21,209.49
site,588,62.70,186.25
special,590,61.88,154.10
main,591,60.49,111.85
trouble,592,61.65,146.18
project,593,61.44,139.23
father,594,62.19,165.61
quality,595,60.03,100.77
themselves,596,62.48,177.01
sleep,597,59.64,92.02
share,598,62.25,168.05
available,599,60.52,112.81
hit,600,62.91,195.32
fair,601,60.61,115.05
news,602,65.12,325.32
strong,604,62.94,196.87
bottom,603,59.26,84.32
note,605,60.87,122.14
step,606,62.74,188.12
subject,607,60.42,110.05
clean,608,59.95,98.85
wife,609,61.45,139.73
machine,610,59.66,92.37
cool,611,59.56,90.41
drop,612,61.29,134.47
